time,state,altitude,temp,abPct,acx,acy,acz,gyx,gyy,gyz,vertVel,latVel,totVel
-500,1,4.52,22,0,-0.19,0.2,1.11,-4.2,0.1,7,-5.83,201.22,201.3
-475,1,4.85,22,0,-0.19,0.2,1.11,-4.2,0,4.2,-3.33,201.28,201.3
-450,1,3.6,22,0,-0.2,0.2,1.1,-4,0,5.7,9.16,201.1,201.31
-425,1,4.52,22,0,-0.19,0.19,1.12,-4.1,-0.8,10.9,-12.49,200.92,201.31
-400,1,4.52,22,0,-0.2,0.2,1.11,-4.2,-0.6,9,-3.33,201.28,201.31
-375,1,3.6,22,0,-0.21,0.19,1.1,-4.4,-0.6,6.8,5.83,201.23,201.31
-350,1,4.52,22,0,-0.19,0.21,1.11,-4.3,-0.9,4,-9.16,201.11,201.32
-325,1,3.6,22,0,-0.14,0.2,1.11,-4.4,-0.9,7,-3.33,201.29,201.32
-300,1,3.94,22,0,-0.17,0.18,1.11,-4.6,-0.9,9.8,0,201.32,201.32
-275,1,3.6,22,0,-0.19,0.19,1.11,-4.8,-1,7.8,-5.83,201.24,201.33
-250,1,3.6,22,0,-0.19,0.2,1.11,-4.7,-0.9,5.5,-9.16,201.12,201.33
-225,1,3.6,22,0,-0.19,0.17,1.11,-4.8,-0.9,4.5,0,201.33,201.33
-200,1,3.6,22,0,-0.15,0.19,1.11,-4.5,-0.9,4.8,-9.16,201.13,201.33
-175,1,4.85,22,0,-0.16,0.2,1.11,-4.6,-1.3,9.5,0,201.34,201.34
-150,1,3.94,22,0,-0.18,0.18,1.11,-4.7,-0.9,9.6,9.16,201.13,201.34
-125,1,3.6,22,0,-0.22,0.19,1.11,-4.7,-0.9,0.9,3.33,201.31,201.34
-100,1,4.52,22,0,-0.16,0.18,1.1,-4.4,-0.9,1.5,0,201.34,201.34
-75,1,1.77,22,0,1.31,-0.46,12.92,4.9,7.7,14.7,9.16,201.14,201.35
